"date","calls"
2012-05-25,334
2012-05-24,246
2012-05-23,285
2012-05-22,246
2012-05-21,285
2012-05-20,219
2012-05-19,265
2012-05-18,297
2012-05-17,347
2012-05-16,291
2012-05-15,290
2012-05-14,234
2012-05-13,209
2012-05-12,291
2012-05-11,258
2012-05-10,305
2012-05-09,300
2012-05-08,315
2012-05-07,315
2012-05-06,263
2012-05-05,294
2012-05-04,326
2012-05-03,269
2012-05-02,242
2012-05-01,277
2012-06-30,333
2012-06-29,428
2012-06-28,434
2012-06-27,418
2012-06-26,327
2012-06-25,336
2012-06-24,310
2012-06-23,298
2012-06-22,345
2012-06-21,339
2012-06-20,390
2012-06-19,307
2012-06-18,312
2012-06-17,227
2012-06-16,263
2012-06-15,330
2012-06-14,335
2012-06-13,298
2012-06-12,332
2012-06-11,304
2012-06-10,264
2012-06-09,306
2012-06-08,357
2012-06-07,281
2012-06-06,282
2012-06-05,342
2012-06-04,319
2012-06-03,253
2012-06-02,301
2012-06-01,349
2012-07-31,269
2012-07-30,269
2012-07-29,221
2012-07-28,301
2012-07-27,336
2012-07-26,316
2012-07-25,349
2012-07-24,303
2012-07-23,320
2012-07-22,231
2012-07-21,318
2012-07-20,382
2012-07-19,319
2012-07-18,306
2012-07-17,293
2012-07-16,352
2012-07-15,248
2012-07-14,324
2012-07-13,360
2012-07-12,409
2012-07-11,316
2012-07-10,367
2012-07-09,343
2012-07-08,285
2012-07-07,346
2012-07-06,382
2012-07-05,350
2012-07-04,323
2012-07-03,383
2012-07-02,332
2012-07-01,248
2012-08-31,343
2012-08-30,307
2012-08-29,308
2012-08-28,302
2012-08-27,282
2012-08-26,254
2012-08-25,294
2012-08-24,332
2012-08-23,342
2012-08-22,307
2012-08-21,277
2012-08-20,297
2012-08-19,249
2012-08-18,269
2012-08-17,333
2012-08-16,347
2012-08-15,363
2012-08-14,295
2012-08-13,282
2012-08-12,230
2012-08-11,276
2012-08-10,334
2012-08-09,275
2012-08-08,316
2012-08-07,282
2012-08-06,274
2012-08-05,261
2012-08-04,304
2012-08-03,357
2012-08-02,345
2012-08-01,367
2012-09-30,263
2012-09-29,302
2012-09-28,344
2012-09-27,337
2012-09-26,314
2012-09-25,342
2012-09-24,347
2012-09-23,292
2012-09-22,342
2012-09-21,357
2012-09-20,350
2012-09-19,334
2012-09-18,364
2012-09-17,312
2012-09-16,259
2012-09-15,311
2012-09-14,361
2012-09-13,323
2012-09-12,263
2012-09-11,265
2012-09-10,271
2012-09-09,242
2012-09-08,305
2012-09-07,381
2012-09-06,313
2012-09-05,274
2012-09-04,277
2012-09-03,224
2012-09-02,237
2012-09-01,345
2012-10-31,326
2012-10-30,338
2012-10-29,320
2012-10-28,261
2012-10-27,341
2012-10-26,309
2012-10-25,321
2012-10-24,290
2012-10-23,252
2012-10-22,252
2012-10-21,216
2012-10-20,338
2012-10-19,322
2012-10-18,270
2012-10-17,286
2012-10-16,260
2012-10-15,301
2012-10-14,252
2012-10-13,301
2012-10-12,288
2012-10-11,311
2012-10-10,337
2012-10-09,321
2012-10-08,263
2012-10-07,238
2012-10-06,349
2012-10-05,379
2012-10-04,335
2012-10-03,305
2012-10-02,283
2012-10-01,295
2012-11-30,297
2012-11-29,337
2012-11-28,403
2012-11-27,303
2012-11-26,289
2012-11-25,221
2012-11-24,209
2012-11-23,290
2012-11-22,204
2012-11-21,276
2012-11-20,309
2012-11-19,267
2012-11-18,262
2012-11-17,322
2012-11-16,380
2012-11-15,336
2012-11-14,341
2012-11-13,306
2012-11-12,261
2012-11-11,213
2012-11-10,260
2012-11-09,334
2012-11-08,330
2012-11-07,312
2012-11-06,336
2012-11-05,284
2012-11-04,237
2012-11-03,332
2012-11-02,374
2012-11-01,376
2012-12-31,282
2012-12-30,236
2012-12-29,301
2012-12-28,296
2012-12-27,364
2012-12-26,348
2012-12-25,191
2012-12-24,217
2012-12-23,211
2012-12-22,277
2012-12-21,418
2012-12-20,352
2012-12-19,350
2012-12-18,260
2012-12-17,288
2012-12-16,229
2012-12-15,231
2012-12-14,324
2012-12-13,407
2012-12-12,418
